[2025-02-08T10:34:07.366+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T10:33:59.611299+00:00 [queued]>
[2025-02-08T10:34:07.371+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T10:33:59.611299+00:00 [queued]>
[2025-02-08T10:34:07.371+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T10:34:07.371+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T10:34:07.371+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T10:34:07.378+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 10:33:59.611299+00:00
[2025-02-08T10:34:07.390+0000] {standard_task_runner.py:52} INFO - Started process 1812 to run task
[2025-02-08T10:34:07.394+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T10:33:59.611299+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmp9_zmweng', '--error-file', '/tmp/tmpn_s5hty3']
[2025-02-08T10:34:07.395+0000] {standard_task_runner.py:80} INFO - Job 37: Subtask post_to_elasticsearch
[2025-02-08T10:34:07.444+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T10:33:59.611299+00:00 [running]> on host b33620135048
[2025-02-08T10:34:07.481+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T10:33:59.611299+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T10:33:59.611299+00:00
[2025-02-08T10:34:10.178+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/0 [status:201 request:2.600s]
[2025-02-08T10:34:10.194+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/1 [status:201 request:0.009s]
[2025-02-08T10:34:10.197+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/2 [status:201 request:0.003s]
[2025-02-08T10:34:10.200+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/3 [status:201 request:0.002s]
[2025-02-08T10:34:10.203+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/4 [status:201 request:0.003s]
[2025-02-08T10:34:10.215+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/5 [status:201 request:0.012s]
[2025-02-08T10:34:10.228+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/6 [status:201 request:0.010s]
[2025-02-08T10:34:10.261+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/7 [status:201 request:0.030s]
[2025-02-08T10:34:10.274+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/8 [status:201 request:0.008s]
[2025-02-08T10:34:10.285+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/9 [status:201 request:0.009s]
[2025-02-08T10:34:10.327+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/10 [status:201 request:0.039s]
[2025-02-08T10:34:10.340+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/11 [status:201 request:0.011s]
[2025-02-08T10:34:10.450+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/12 [status:201 request:0.100s]
[2025-02-08T10:34:10.498+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/13 [status:201 request:0.043s]
[2025-02-08T10:34:10.911+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/14 [status:201 request:0.396s]
[2025-02-08T10:34:10.934+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/15 [status:201 request:0.019s]
[2025-02-08T10:34:10.948+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/16 [status:201 request:0.012s]
[2025-02-08T10:34:10.996+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/17 [status:201 request:0.044s]
[2025-02-08T10:34:11.011+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/18 [status:201 request:0.011s]
[2025-02-08T10:34:11.016+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/19 [status:201 request:0.003s]
[2025-02-08T10:34:11.020+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/20 [status:201 request:0.003s]
[2025-02-08T10:34:11.023+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/21 [status:201 request:0.002s]
[2025-02-08T10:34:11.026+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/22 [status:201 request:0.004s]
[2025-02-08T10:34:11.031+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/23 [status:201 request:0.003s]
[2025-02-08T10:34:11.035+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/24 [status:201 request:0.003s]
[2025-02-08T10:34:11.037+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/25 [status:201 request:0.002s]
[2025-02-08T10:34:11.039+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/26 [status:201 request:0.002s]
[2025-02-08T10:34:11.041+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/27 [status:201 request:0.002s]
[2025-02-08T10:34:11.044+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/28 [status:201 request:0.002s]
[2025-02-08T10:34:11.051+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/29 [status:201 request:0.007s]
[2025-02-08T10:34:11.066+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/30 [status:201 request:0.012s]
[2025-02-08T10:34:11.084+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/31 [status:201 request:0.012s]
[2025-02-08T10:34:11.101+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/32 [status:201 request:0.010s]
[2025-02-08T10:34:11.137+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/33 [status:201 request:0.033s]
[2025-02-08T10:34:11.157+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/34 [status:201 request:0.017s]
[2025-02-08T10:34:11.186+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/35 [status:201 request:0.023s]
[2025-02-08T10:34:11.283+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/36 [status:201 request:0.074s]
[2025-02-08T10:34:11.309+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/37 [status:201 request:0.019s]
[2025-02-08T10:34:11.330+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/38 [status:201 request:0.017s]
[2025-02-08T10:34:11.366+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/39 [status:201 request:0.033s]
[2025-02-08T10:34:11.406+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/40 [status:201 request:0.029s]
[2025-02-08T10:34:11.433+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/41 [status:201 request:0.023s]
[2025-02-08T10:34:11.458+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/42 [status:201 request:0.021s]
[2025-02-08T10:34:11.520+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/43 [status:201 request:0.056s]
[2025-02-08T10:34:11.591+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/44 [status:201 request:0.045s]
[2025-02-08T10:34:11.649+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/45 [status:201 request:0.047s]
[2025-02-08T10:34:11.670+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/46 [status:201 request:0.016s]
[2025-02-08T10:34:11.695+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/47 [status:201 request:0.018s]
[2025-02-08T10:34:11.715+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/48 [status:201 request:0.013s]
[2025-02-08T10:34:11.739+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/49 [status:201 request:0.019s]
[2025-02-08T10:34:11.757+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/50 [status:201 request:0.014s]
[2025-02-08T10:34:11.840+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/51 [status:201 request:0.079s]
[2025-02-08T10:34:11.874+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/52 [status:201 request:0.025s]
[2025-02-08T10:34:11.904+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/53 [status:201 request:0.021s]
[2025-02-08T10:34:11.944+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/54 [status:201 request:0.027s]
[2025-02-08T10:34:11.999+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/55 [status:201 request:0.049s]
[2025-02-08T10:34:12.041+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/56 [status:201 request:0.030s]
[2025-02-08T10:34:12.096+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/57 [status:201 request:0.036s]
[2025-02-08T10:34:12.155+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/58 [status:201 request:0.048s]
[2025-02-08T10:34:12.210+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/59 [status:201 request:0.041s]
[2025-02-08T10:34:12.343+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/60 [status:201 request:0.078s]
[2025-02-08T10:34:12.382+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/61 [status:201 request:0.028s]
[2025-02-08T10:34:12.423+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/62 [status:201 request:0.033s]
[2025-02-08T10:34:12.666+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/63 [status:201 request:0.236s]
[2025-02-08T10:34:12.939+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/64 [status:201 request:0.239s]
[2025-02-08T10:34:13.126+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/65 [status:201 request:0.176s]
[2025-02-08T10:34:13.230+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/66 [status:201 request:0.084s]
[2025-02-08T10:34:13.313+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/67 [status:201 request:0.070s]
[2025-02-08T10:34:13.443+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/68 [status:201 request:0.103s]
[2025-02-08T10:34:13.492+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/69 [status:201 request:0.036s]
[2025-02-08T10:34:13.522+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/70 [status:201 request:0.025s]
[2025-02-08T10:34:13.546+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/71 [status:201 request:0.018s]
[2025-02-08T10:34:13.560+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/72 [status:201 request:0.011s]
[2025-02-08T10:34:13.580+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/73 [status:201 request:0.015s]
[2025-02-08T10:34:13.629+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/74 [status:201 request:0.037s]
[2025-02-08T10:34:13.725+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/75 [status:201 request:0.083s]
[2025-02-08T10:34:13.826+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/76 [status:201 request:0.089s]
[2025-02-08T10:34:13.879+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/77 [status:201 request:0.036s]
[2025-02-08T10:34:13.951+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/78 [status:201 request:0.060s]
[2025-02-08T10:34:13.983+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/79 [status:201 request:0.022s]
[2025-02-08T10:34:14.021+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/80 [status:201 request:0.029s]
[2025-02-08T10:34:14.041+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/81 [status:201 request:0.016s]
[2025-02-08T10:34:14.055+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/82 [status:201 request:0.010s]
[2025-02-08T10:34:14.070+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/retail_inventory/_doc/83 [status:201 request:0.012s]
