[2025-02-08T12:59:53.134+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T12:59:45.906783+00:00 [queued]>
[2025-02-08T12:59:53.146+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T12:59:45.906783+00:00 [queued]>
[2025-02-08T12:59:53.146+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T12:59:53.146+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T12:59:53.146+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T12:59:53.153+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 12:59:45.906783+00:00
[2025-02-08T12:59:53.159+0000] {standard_task_runner.py:52} INFO - Started process 321 to run task
[2025-02-08T12:59:53.164+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T12:59:45.906783+00:00', '--job-id', '127', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmpc5pqaa_x', '--error-file', '/tmp/tmpsx8sw3vu']
[2025-02-08T12:59:53.164+0000] {standard_task_runner.py:80} INFO - Job 127: Subtask post_to_elasticsearch
[2025-02-08T12:59:53.206+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T12:59:45.906783+00:00 [running]> on host b33620135048
[2025-02-08T12:59:53.252+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T12:59:45.906783+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T12:59:45.906783+00:00
[2025-02-08T12:59:53.281+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.028s]
[2025-02-08T12:59:53.282+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T12:59:53.492+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.074s]
[2025-02-08T12:59:53.498+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.005s]
[2025-02-08T12:59:53.504+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.005s]
[2025-02-08T12:59:53.506+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.002s]
[2025-02-08T12:59:53.510+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.004s]
[2025-02-08T12:59:53.519+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.008s]
[2025-02-08T12:59:53.522+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.003s]
