[2025-02-08T13:11:25.639+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:11:17.235684+00:00 [queued]>
[2025-02-08T13:11:25.648+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:11:17.235684+00:00 [queued]>
[2025-02-08T13:11:25.648+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:11:25.648+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T13:11:25.648+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:11:25.656+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 13:11:17.235684+00:00
[2025-02-08T13:11:25.664+0000] {standard_task_runner.py:52} INFO - Started process 220 to run task
[2025-02-08T13:11:25.668+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T13:11:17.235684+00:00', '--job-id', '146', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmp6t5sorbd', '--error-file', '/tmp/tmpoojvw_ds']
[2025-02-08T13:11:25.669+0000] {standard_task_runner.py:80} INFO - Job 146: Subtask post_to_elasticsearch
[2025-02-08T13:11:25.720+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:11:17.235684+00:00 [running]> on host b33620135048
[2025-02-08T13:11:25.765+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T13:11:17.235684+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T13:11:17.235684+00:00
[2025-02-08T13:11:25.779+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.011s]
[2025-02-08T13:11:25.779+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T13:11:25.966+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.079s]
[2025-02-08T13:11:25.987+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.015s]
[2025-02-08T13:11:25.994+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.006s]
[2025-02-08T13:11:26.001+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.006s]
[2025-02-08T13:11:26.008+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.007s]
[2025-02-08T13:11:26.039+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.028s]
[2025-02-08T13:11:26.192+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.151s]
[2025-02-08T13:11:26.257+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.056s]
[2025-02-08T13:11:26.293+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.033s]
[2025-02-08T13:11:26.342+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.043s]
[2025-02-08T13:11:26.361+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.013s]
[2025-02-08T13:11:26.367+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.004s]
