[2025-02-08T13:15:27.854+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:15:14.063978+00:00 [queued]>
[2025-02-08T13:15:27.866+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:15:14.063978+00:00 [queued]>
[2025-02-08T13:15:27.868+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:15:27.868+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T13:15:27.868+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:15:27.878+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 13:15:14.063978+00:00
[2025-02-08T13:15:27.893+0000] {standard_task_runner.py:52} INFO - Started process 289 to run task
[2025-02-08T13:15:27.896+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T13:15:14.063978+00:00', '--job-id', '149', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmp4vrosh4x', '--error-file', '/tmp/tmp6l1ojzdq']
[2025-02-08T13:15:27.898+0000] {standard_task_runner.py:80} INFO - Job 149: Subtask post_to_elasticsearch
[2025-02-08T13:15:27.964+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:15:14.063978+00:00 [running]> on host b33620135048
[2025-02-08T13:15:28.013+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T13:15:14.063978+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T13:15:14.063978+00:00
[2025-02-08T13:15:28.044+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.027s]
[2025-02-08T13:15:28.044+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T13:15:31.448+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:2.119s]
[2025-02-08T13:15:32.091+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.171s]
[2025-02-08T13:15:32.194+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.053s]
[2025-02-08T13:15:32.351+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean/_doc [status:201 request:0.129s]
