[2025-02-08T13:29:35.501+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:29:30.078940+00:00 [queued]>
[2025-02-08T13:29:35.505+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:29:30.078940+00:00 [queued]>
[2025-02-08T13:29:35.505+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:29:35.505+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T13:29:35.505+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:29:35.511+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 13:29:30.078940+00:00
[2025-02-08T13:29:35.518+0000] {standard_task_runner.py:52} INFO - Started process 209 to run task
[2025-02-08T13:29:35.520+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T13:29:30.078940+00:00', '--job-id', '165', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmphytqx72x', '--error-file', '/tmp/tmpkw3bm4wv']
[2025-02-08T13:29:35.521+0000] {standard_task_runner.py:80} INFO - Job 165: Subtask post_to_elasticsearch
[2025-02-08T13:29:35.623+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:29:30.078940+00:00 [running]> on host b33620135048
[2025-02-08T13:29:35.680+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T13:29:30.078940+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T13:29:30.078940+00:00
[2025-02-08T13:29:35.697+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.014s]
[2025-02-08T13:29:35.698+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T13:29:36.018+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.203s]
[2025-02-08T13:29:36.022+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.003s]
[2025-02-08T13:29:36.026+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.004s]
[2025-02-08T13:29:36.029+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.003s]
[2025-02-08T13:29:36.034+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.005s]
[2025-02-08T13:29:36.043+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.006s]
[2025-02-08T13:29:36.047+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.004s]
[2025-02-08T13:29:36.051+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.004s]
[2025-02-08T13:29:36.055+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.004s]
[2025-02-08T13:29:36.058+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.060+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.062+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.064+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.066+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.068+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.070+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.072+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.074+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.077+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.078+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.080+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.082+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.084+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.086+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.088+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.090+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.092+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.094+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.096+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.097+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.099+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.101+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.103+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.105+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.107+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.109+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.111+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.112+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.114+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.116+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.118+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.120+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.122+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.123+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.126+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.003s]
[2025-02-08T13:29:36.134+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.007s]
[2025-02-08T13:29:36.136+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.137+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.139+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.141+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.143+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.001s]
[2025-02-08T13:29:36.144+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.001s]
[2025-02-08T13:29:36.146+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.148+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.151+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.153+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.155+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.157+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.159+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.161+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.163+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.165+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.167+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:29:36.168+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.001s]
[2025-02-08T13:29:36.170+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
