[2025-02-08T13:35:02.053+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:34:55.315378+00:00 [queued]>
[2025-02-08T13:35:02.059+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:34:55.315378+00:00 [queued]>
[2025-02-08T13:35:02.060+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:35:02.060+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T13:35:02.060+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T13:35:02.069+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-02-08 13:34:55.315378+00:00
[2025-02-08T13:35:02.086+0000] {standard_task_runner.py:52} INFO - Started process 221 to run task
[2025-02-08T13:35:02.090+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'post_to_elasticsearch', 'manual__2025-02-08T13:34:55.315378+00:00', '--job-id', '169', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_RizkySP_DAG.py', '--cfg-path', '/tmp/tmprcq_g4bg', '--error-file', '/tmp/tmpzsqyorqx']
[2025-02-08T13:35:02.091+0000] {standard_task_runner.py:80} INFO - Job 169: Subtask post_to_elasticsearch
[2025-02-08T13:35:02.157+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.post_to_elasticsearch manual__2025-02-08T13:34:55.315378+00:00 [running]> on host b33620135048
[2025-02-08T13:35:02.223+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=RizkySP
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T13:34:55.315378+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T13:34:55.315378+00:00
[2025-02-08T13:35:02.251+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.025s]
[2025-02-08T13:35:02.251+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T13:35:02.781+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.334s]
[2025-02-08T13:35:02.787+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.003s]
[2025-02-08T13:35:02.790+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
[2025-02-08T13:35:02.792+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3_data_clean/_doc [status:201 request:0.002s]
